agent	case	result	trace	validation
rag-agent	medagentbench_potassium_repletion_order_hard	PASS	rag-agent/traces/medagentbench_potassium_repletion_order_hard.jsonl	rag-agent/validation/medagentbench_potassium_repletion_order_hard.txt
claude-code	spider2lite_f1_overtake_audit_hard	PASS	claude-code/traces/spider2lite_f1_overtake_audit_hard.jsonl	claude-code/validation/spider2lite_f1_overtake_audit_hard.txt
claude-code	dci_browsecomp_architecture_firm_hard	FAIL	claude-code/traces/dci_browsecomp_architecture_firm_hard.jsonl	claude-code/validation/dci_browsecomp_architecture_firm_hard.txt
claude-code	docfinqa_oilgas_canada_pdf_hard	PASS	claude-code/traces/docfinqa_oilgas_canada_pdf_hard.jsonl	claude-code/validation/docfinqa_oilgas_canada_pdf_hard.txt
claude-code	docvqa_contract_effective_date_ocr_hard	FAIL	claude-code/traces/docvqa_contract_effective_date_ocr_hard.jsonl	claude-code/validation/docvqa_contract_effective_date_ocr_hard.txt
claude-code	longda_nscg_telework_hard	PASS	claude-code/traces/longda_nscg_telework_hard.jsonl	claude-code/validation/longda_nscg_telework_hard.txt
claude-code	multihiertt_global_products_atoi_share_hard	PASS	claude-code/traces/multihiertt_global_products_atoi_share_hard.jsonl	claude-code/validation/multihiertt_global_products_atoi_share_hard.txt
claude-code	workspacebench_taobao_permissions_hard	FAIL	claude-code/traces/workspacebench_taobao_permissions_hard.jsonl	claude-code/validation/workspacebench_taobao_permissions_hard.txt
claude-code	dvworld_dvevol_crime_association_network_hard	FAIL	claude-code/traces/dvworld_dvevol_crime_association_network_hard.jsonl	claude-code/validation/dvworld_dvevol_crime_association_network_hard.txt
claude-code	bankertoolbench_cake_lbo_sensitivity_hard	PASS	claude-code/traces/bankertoolbench_cake_lbo_sensitivity_hard.jsonl	claude-code/validation/bankertoolbench_cake_lbo_sensitivity_hard.txt
claude-code	finlongdocqa_interest_expense_sensitivity_screen_hard	FAIL	claude-code/traces/finlongdocqa_interest_expense_sensitivity_screen_hard.jsonl	claude-code/validation/finlongdocqa_interest_expense_sensitivity_screen_hard.txt
claude-code	dabstep_real_fees_1681	PASS	claude-code/traces/dabstep_real_fees_1681.jsonl	claude-code/validation/dabstep_real_fees_1681.txt
claude-code	prepbench_loyalty_tier_normalization_hard	PASS	claude-code/traces/prepbench_loyalty_tier_normalization_hard.jsonl	claude-code/validation/prepbench_loyalty_tier_normalization_hard.txt
claude-code	spreadsheetbench_working_paper_transpose_hard	PASS	claude-code/traces/spreadsheetbench_working_paper_transpose_hard.jsonl	claude-code/validation/spreadsheetbench_working_paper_transpose_hard.txt
claude-code	harveylab_reps_diligence_discrepancy_hard	PASS	claude-code/traces/harveylab_reps_diligence_discrepancy_hard.jsonl	claude-code/validation/harveylab_reps_diligence_discrepancy_hard.txt
claude-code	medagentbench_potassium_repletion_order_hard	PASS	claude-code/traces/medagentbench_potassium_repletion_order_hard.jsonl	claude-code/validation/medagentbench_potassium_repletion_order_hard.txt
codex	spider2lite_f1_overtake_audit_hard	PASS	codex/traces/spider2lite_f1_overtake_audit_hard.jsonl	codex/validation/spider2lite_f1_overtake_audit_hard.txt
codex	dci_browsecomp_architecture_firm_hard	FAIL	codex/traces/dci_browsecomp_architecture_firm_hard.jsonl	codex/validation/dci_browsecomp_architecture_firm_hard.txt
codex	docfinqa_oilgas_canada_pdf_hard	PASS	codex/traces/docfinqa_oilgas_canada_pdf_hard.jsonl	codex/validation/docfinqa_oilgas_canada_pdf_hard.txt
codex	docvqa_contract_effective_date_ocr_hard	FAIL	codex/traces/docvqa_contract_effective_date_ocr_hard.jsonl	codex/validation/docvqa_contract_effective_date_ocr_hard.txt
codex	longda_nscg_telework_hard	PASS	codex/traces/longda_nscg_telework_hard.jsonl	codex/validation/longda_nscg_telework_hard.txt
codex	multihiertt_global_products_atoi_share_hard	PASS	codex/traces/multihiertt_global_products_atoi_share_hard.jsonl	codex/validation/multihiertt_global_products_atoi_share_hard.txt
codex	workspacebench_taobao_permissions_hard	FAIL	codex/traces/workspacebench_taobao_permissions_hard.jsonl	codex/validation/workspacebench_taobao_permissions_hard.txt
codex	dvworld_dvevol_crime_association_network_hard	FAIL	codex/traces/dvworld_dvevol_crime_association_network_hard.jsonl	codex/validation/dvworld_dvevol_crime_association_network_hard.txt
codex	bankertoolbench_cake_lbo_sensitivity_hard	FAIL	codex/traces/bankertoolbench_cake_lbo_sensitivity_hard.jsonl	codex/validation/bankertoolbench_cake_lbo_sensitivity_hard.txt
codex	finlongdocqa_interest_expense_sensitivity_screen_hard	FAIL	codex/traces/finlongdocqa_interest_expense_sensitivity_screen_hard.jsonl	codex/validation/finlongdocqa_interest_expense_sensitivity_screen_hard.txt
codex	dabstep_real_fees_1681	PASS	codex/traces/dabstep_real_fees_1681.jsonl	codex/validation/dabstep_real_fees_1681.txt
codex	prepbench_loyalty_tier_normalization_hard	PASS	codex/traces/prepbench_loyalty_tier_normalization_hard.jsonl	codex/validation/prepbench_loyalty_tier_normalization_hard.txt
codex	spreadsheetbench_working_paper_transpose_hard	PASS	codex/traces/spreadsheetbench_working_paper_transpose_hard.jsonl	codex/validation/spreadsheetbench_working_paper_transpose_hard.txt
codex	harveylab_reps_diligence_discrepancy_hard	FAIL	codex/traces/harveylab_reps_diligence_discrepancy_hard.jsonl	codex/validation/harveylab_reps_diligence_discrepancy_hard.txt
codex	medagentbench_potassium_repletion_order_hard	FAIL	codex/traces/medagentbench_potassium_repletion_order_hard.jsonl	codex/validation/medagentbench_potassium_repletion_order_hard.txt
